ticker,return,ret_5,ret_10,ret_20,volatility
AAPL,-8.934589714182373e-05,0.024379145023587956,0.0662835120552483,0.19163066168576104,0.02073935334006011
MSFT,0.0,-0.016354506304996907,0.016405586889991275,0.061521521942566215,0.019447847180991296
AMZN,5.38151243496543e-05,-0.061876407570109815,-0.06164898373902283,-0.032928713420509736,0.01959146553372422
TSLA,-0.00016476998110637187,-0.1863162086009752,-0.2217446645076816,-0.25133742264734216,0.04545624073160208
NVDA,7.58886421028393e-05,-0.04643253563482019,-0.06673753334257893,0.013822598597509339,0.020178776771362292
META,-6.680253263569025e-05,-0.0747736363694107,-0.09888962436472104,0.05878067678509402,0.01716768758827441
GOOGL,-6.114887551322834e-05,-0.05697824896172987,-0.08939949869376518,-0.0743107570559981,0.03103763992118443
BRK-B,0.00016160535466802628,0.010987450117174724,0.008022974344391587,-0.0019556476223853148,0.004656537604268263
JPM,-4.2168433088907165e-05,0.02924137792036552,0.036265265908496325,0.0835961055913581,0.009880725488903038
V,-0.0002486017940467322,0.017143516322727148,0.016572171777231137,0.05932978162848013,0.013899841972151196
JNJ,0.03070593410031508,0.05526794570586957,0.039088576857017276,0.08630648284691356,0.01697058904503905
WMT,0.03500138085903015,-0.02289038789100728,-0.01997367423530727,-0.04093993826476672,0.017196031405891633
XOM,-0.01298862420631175,0.05198156643853391,0.11621542930724571,0.12807368539336816,0.014927504443369733
UNH,-0.013284947254266988,-0.017742724831771528,-0.014342226950970316,0.008578927508305245,0.01697786280482657
MA,0.04358206773336515,0.013134685373636046,0.04556327684427597,0.11386616680481998,0.020343951100098522
LLY,0.014777462709043565,0.01714850264549006,0.009044406264163252,0.05831013108730421,0.017699010903060343
AVGO,-0.017580633074039675,0.03675540106343678,-0.03877793264066964,0.016175913666081954,0.02671530301056507
HD,0.037119106756388964,-0.005636390620682885,-0.018467802398274613,-0.017523689222458172,0.01989736276575476
PG,0.020050642274919372,-0.007834398487998273,0.012003532849826914,0.0006051598030245575,0.015532945507823043
COST,0.030575503848873087,0.009884455707199313,0.037020445195259155,0.0019148746105634995,0.01597761252694609
